0,1
Number of Referrals,0.1250930330286263
x8_Month-to-month,0.12434859554708974
Tenure,0.08985653476063526
x8_Two year,0.08255887793348525
x1_Fiber optic,0.05605535990829115
Total Revenue,0.04719070843920512
Total Charges,0.044814602030627246
x2_No,0.04308050128351848
x5_No,0.042529118139103324
x9_Electronic check,0.036782836586867616
Total Long Distance Charges,0.03656218108324762
x11_Fiber Optic,0.027721641271281537
Monthly Charge,0.024110778635034157
Avg Monthly GB Download,0.018277892992969676
x5_No internet service,0.01793669484824282
x11_None,0.013332072915097172
x8_One year,0.012809908978589822
x4_No internet service,0.012410124223649278
x3_No,0.010948717847090852
x2_No internet service,0.010758660321975547
x1_DSL,0.010471131528028282
x6_No internet service,0.010379730771566112
x2_Yes,0.009538193603015714
x5_Yes,0.009127110094486211
x3_No internet service,0.0071142202338824985
Avg Monthly Long Distance Charges,0.006771165259834211
x10_Offer E,0.00634466392972007
x7_No internet service,0.006295363219339737
x1_No,0.005828075900586288
x11_DSL,0.0056710741383858235
x4_No,0.00550623506937089
Paperless Billing,0.0042059330900064565
x3_Yes,0.0035219761947465813
x9_Credit card (automatic),0.003493310830685455
Referred a Friend,0.0028496649413345654
x7_Yes,0.00191331154499985
Unlimited Data,0.0018057123589773256
Partner,0.0016116066931887007
Streaming Music,0.0016017538734786002
Dependents,0.0015390720625324912
x10_Offer A,0.0014633143670137964
x6_Yes,0.001295866263891002
x10_Offer B,0.0012923389367945762
x6_No,0.0012623396709702493
x0_Yes,0.0012088887538025575
Total Extra Data Charges,0.001177322991160811
Senior Citizen,0.0011230670431577716
x10_None,0.0009822567055834692
x9_Mailed check,0.0009552796033662319
x4_Yes,0.0007705838082981888
x7_No,0.0007621508683868874
x0_No,0.0007536644088750889
Total Refunds,0.0006821721587417326
Phone Service,0.0006706947194681074
x9_Bank transfer (automatic),0.0005806909147340183
x10_Offer C,0.0005245272485194423
x0_No phone service,0.00045462930063695333
x10_Offer D,0.0004480344127480831
Gender,0.00043350880230803466
x11_Cable,0.00039052290874903807
